population,country,gdp_pc
647599,Luxembourg,118001
5975689,Singapore,97057
5023109,Ireland,94392
2695122,Qatar,93508
8740472,Switzerland,72874
5434319,Norway,65800
338289857,United States,63416
449002,Brunei,62371
7488865,Hong Kong,59520
5882261,Denmark,58932
9441129,United Arab Emirates,58753
33660,San Marino,58427
17564014,Netherlands,57534
695168,Macau,56078
23893394,Taiwan,55724
372899,Iceland,55596
8939617,Austria,55218
10549347,Sweden,54146
83369843,Germany,54076
26177413,Australia,51680
11655930,Belgium,51096
5540745,Finland,49853
1472233,Bahrain,48766
38454327,Canada,48720
36408820,Saudi Arabia,46811
64626628,France,46062
51815810,South Korea,44621
67508936,United Kingdom,44117
533286,Malta,42856
123951692,Japan,42248
5185288,New Zealand,42018
4268873,Kuwait,41627
59037474,Italy,40861
10493986,Czech Republic,40618
9038309,Israel,40547
1251488,Cyprus,40107
2119844,Slovenia,40067
47558630,Spain,39121
1326062,Estonia,38834
2750055,Lithuania,38824
39857145,Poland,34103
10270865,Portugal,34043
3252407,Puerto Rico,34025
9967308,Hungary,33030
5643453,Slovakia,32709
1850651,Latvia,31509
19659267,Romania,30526
85341241,Turkey,30253
4576298,Oman,30178
106445,Aruba,29090
10384971,Greece,28748
144713314,Russia,27903
4030358,Croatia,27717
33938221,Malaysia,27402
4408581,Panama,27003
19397998,Kazakhstan,26565
107118,Seychelles,25414
1531044,Trinidad and Tobago,25031
6781953,Bulgaria,23817
19603733,Chile,23366
3422794,Uruguay,22459
45510318,Argentina,20751
1299469,Mauritius,20292
9534954,Belarus,20187
5180829,Costa Rica,19990
808726,Guyana,19684
523787.00000000006,Maldives,19609
7221365,Serbia,19146
127504125,Mexico,19130
93763,Antigua and Barbuda,18618
11228821,Dominican Republic,18608
71697030,Thailand,18236
1674908,Equatorial Guinea,17788
1425887337,China,17192
2630296,Botswana,16893
2093599.0000000002,North Macedonia,16712
6430770,Turkmenistan,16520
2388992,Gabon,15970
125438,Grenada,15431
3233526,Bosnia and Herzegovina,15047
3744385,Georgia,14918
215313498,Brazil,14916
618040,Suriname,14513
10358074,Azerbaijan,14431
51874024,Colombia,14324
18055,Palau,14309
2842321,Albania,14218
281635,Barbados,13553
2780469,Armenia,13261
21832143,Sri Lanka,13214
39701739,Ukraine,13110
88550570,Iran,13073
6780744,Paraguay,12881
3272996,Moldova,12811
110990103,Egypt,12790
275501339,Indonesia,12222
782455,Bhutan,12060
59893885,South Africa,12032
34049588,Peru,11871
3398366,Mongolia,11825
929766,Fiji,11567
5489739,Lebanon,11564
44903225,Algeria,11112
72737,Dominica,11072
18001000,Ecuador,11009
98186856,Vietnam,10869
11285869,Jordan,10306
12356117,Tunisia,10120
44496122,Iraq,10003
2827377,Jamaica,9975
12668,Nauru,9856
2567012,Namibia,9396
1201670,Eswatini,8957
115559009,Philippines,8452
6336392,El Salvador,8422
12224110,Bolivia,8344
17843908,Guatemala,8293
7529475,Laos,8111
37457971,Morocco,7620
34627652,Uzbekistan,7449
35588987,Angola,6932
1417173173,India,6461
106858,Tonga,6191
405272,Belize,6046
6812341,Libya,5893
4736139,Mauritania,5834
33475870.000000004,Ghana,5693
222382,Samoa,5653
6948392,Nicaragua,5575
10432860,Honduras,5450
28160542,Ivory Coast,5365
171186372,Bangladesh,5307
54179306,Myanmar,5242
218541212,Nigeria,5187
28301696,Venezuela,5178
235824862,Pakistan,5150
1120849,Djibouti,5096
6630623,Kyrgyzstan,5036
54027487,Kenya,4926
16767842,Cambodia,4695
11312,Tuvalu,4497
5970424,Republic of the Congo,4188
46874204,Sudan,4098
30547580,Nepal,4061
10142619,Papua New Guinea,3833
41569,Marshall Islands,3786
9952787,Tajikistan,3676
27914536,Cameroon,3646
17316449,Senegal,3478
114164,Micronesia,3446
13352864,Benin,3437
1341296,Timor-Leste,3382
20017675,Zambia,3342
836774,Comoros,3048
11584996,Haiti,2916
123379924,Ethiopia,2908
65497748,Tanzania,2821
2305825,Lesotho,2718
16320537,Zimbabwe,2622
13859341,Guinea,2604
326740,Vanuatu,2586
47249585,Uganda,2574
724273,Solomon Islands,2455
22593590,Mali,2401
41128771,Afghanistan,2390
2105566,Guinea-Bissau,2348
13776698,Rwanda,2337
2705992,Gambia,2276
22673762,Burkina Faso,2262
131232,Kiribati,2200
8848699,Togo,2199
33696614,Yemen,1927
3684032,Eritrea,1821
8605718,Sierra Leone,1725
17723315,Chad,1611
29611714,Madagascar,1599
5302681,Liberia,1557
32969517.999999996,Mozambique,1277
26207977,Niger,1259
99010212,DR Congo,1106
20405317,Malawi,993
5579144,Central African Republic,979
17597511,Somalia,925
10913164,South Sudan,791
12889576,Burundi,760
